resist_variation_id,life_steal,main_skill_lv_5,atk,main_skill_lv_3,main_skill_lv_4,magic_critical,dodge,magic_def,main_skill_lv_9,ex_skill_lv_2,hp,resist_status_id,main_skill_lv_7,def,ex_skill_lv_5,main_skill_lv_8,rarity,magic_str,wave_energy_recovery,promotion_level,ex_skill_lv_3,energy_recovery_rate,ex_skill_lv_4,main_skill_lv_1,name,hp_recovery_rate,magic_penetrate,enemy_id,unit_id,physical_penetrate,accuracy,ex_skill_lv_1,main_skill_lv_6,break_durability,main_skill_lv_2,union_burst_level,unique_equipment_flag_1,wave_hp_recovery,physical_critical,level,energy_reduce_rate,main_skill_lv_10
0,0,0,5000,2500,0,0,0,900,0,0,900000,200000001,0,900,0,0,1,0,0,1,0,0,0,2500,"보석 거미A",0,0,804100111,217601,0,50,0,0,0,2500,0,0,0,0,200,0,0
0,0,0,5000,2500,0,0,0,600,0,0,900000,200000001,0,600,0,0,1,0,0,1,0,0,0,2500,"보석 거미B",0,0,804100121,217602,0,50,0,0,0,2500,0,0,0,0,200,0,0
0,0,0,5000,2500,0,0,0,300,0,0,900000,200000001,0,300,0,0,1,0,0,1,0,0,0,2500,"보석 거미C",0,0,804100131,217603,0,50,0,0,0,2500,0,0,0,0,200,0,0
0,0,0,12000,2500,100,0,0,700,0,0,18000000,300000008,0,700,0,0,1,0,0,1,0,70,0,2500,"야마토",0,0,804100201,319901,0,50,0,0,0,2500,2500,0,0,0,600,0,0
0,0,0,0,0,0,0,0,200,0,0,14000000,300000008,0,200,0,0,1,0,0,1,0,0,0,100,"와카나",0,0,804100211,319801,0,50,0,0,0,100,0,0,0,0,600,0,0
0,0,0,10000,0,0,0,0,200,0,0,9000000,300000008,0,200,0,0,1,0,0,1,0,130,0,300,"후부키",0,0,804100221,319701,0,50,0,0,0,100,2500,0,0,0,600,0,0
0,0,0,16000,2500,100,0,0,1200,0,0,67000000,300000008,0,1200,0,0,1,16000,0,1,0,100,0,2500,"프레이야",0,0,804100301,321500,0,50,0,0,0,2500,2500,0,0,0,600,0,0
0,0,0,12000,2500,0,0,0,500,0,0,12000000,300000008,0,500,0,0,1,0,0,1,0,0,0,2500,"와이번",0,0,804100311,217700,0,50,0,0,0,2500,0,0,0,0,600,0,0
0,0,30,14000,2500,2500,0,0,600,0,0,80000000,300000008,0,600,0,0,1,16000,0,1,0,160,0,2500,"아라크네",0,0,804100401,321600,0,50,0,2500,0,2500,2500,0,0,0,700,0,0
0,0,30,14000,2500,2500,0,0,600,0,0,80000000,300000008,0,600,0,0,1,16000,0,1,0,110,0,2500,"아라크네",0,0,804100402,321603,0,50,0,0,0,2500,2500,0,0,0,700,0,0
0,0,0,36000,0,0,0,0,50000,0,0,600000000,300000009,0,50000,0,0,1,50000,0,1,0,0,0,5000,"육흉・마거미 아라크네",0,0,804100501,321601,0,50,0,0,0,5000,0,0,0,0,750,0,0
0,0,5000,36000,5000,5000,0,0,1200,0,0,600000000,300000009,150,1200,0,0,1,40000,0,1,0,130,0,5000,"육흉・마거미 아라크네",0,0,804100502,321602,0,50,0,150,0,5000,5000,0,0,0,750,0,0
0,0,0,40000,0,0,0,0,1000,0,0,150000,900000001,0,1000,0,0,1,0,0,1,0,50,0,316,"셰피",0,0,804100601,192701,0,50,0,0,0,0,316,0,0,1500,316,0,0
