command_id,param_06,param_07,param_04,drama_id,param_08,param_03,command_type,param_05,param_02,param_01
1001,1.4,1,-216,1,idle_normal,100,5,-103,1,1
1002,0,"",-140,1,"",-57,31,1,13,13
1003,0,"",-140,1,"",-57,31,1,14,14
1004,"","","",1,"","",91,"",0,0
1005,0.2,0,top_luis_arm_crossed_idle,1,"",0,3,1,top_luis_arm_crossed_in,1
1006,"","","",1,"","",93,"",0,4
1007,0.2,0,top_luis_approach_idle,1,"",0,3,1,top_luis_approach_in,1
1008,"","","",1,"","",93,"",0,3.5
1009,0.2,"","",1,"",1,3,"",top_luis_thinking,1
1010,"","","",1,"","",93,"",0,3.5
1011,0.2,"","",1,"",1,3,"",top_luis_walk_think,1
1012,"","",2,1,"",-103,2,0,-495,1
1013,"","","",1,"","",93,"",0,2
1014,"","","",1,"","",4,"",0,1
1015,"","",2,1,"",-103,2,0,-216,1
1016,"","","",1,"","",93,"",0,2
1017,0,"","",1,"",1,3,"",top_luis_notice,1
1018,"","","",1,"","",93,"",0,1
1019,0.2,"","",1,"",1,3,"",top_luis_walk_jog,1
1020,"","",0.5,1,"",-130,2,0,-100,1
1021,"","","",1,"","",93,"",0,0.5
1022,"","","",1,"","",4,"",1,1
1023,0.2,0,top_luis_sit_idle,1,"",0,3,1,top_luis_sit_in,1
1024,"","","",1,"","",93,"",0,0.1
1025,"","",0.4,1,"",-140,2,0,-57,1
1026,"","","",1,"","",93,"",0,1
1027,0.2,"","",1,"",0,3,"",top_luis_experiment_failer_in,1
1028,"","","",1,"","",93,"",0,2.3
1029,0.1,"","",1,"",0,3,"",top_luis_experiment_failer_mix,1
1030,"","","",1,"","",93,"",0,2.7
1031,"","","",1,"","",32,"",1,13
1032,0.1,"","",1,"",0,3,"",top_luis_experiment_failer_burst,1
1033,"","","",1,"","",93,"",0,2.7
1034,0.1,"","",1,"",0,3,"",top_luis_experiment_failer_out,1
1035,"","","",1,"","",93,"",0,1.1
1036,0.2,0,idle_normal,1,"",0,3,1,top_luis_sit_out,1
1037,"","",0.3,1,"",-130,2,0,-100,1
1038,"","","",1,"","",93,"",0,1
1039,0.2,"","",1,"",0,3,"",walk_normal,1
1040,"","",1,1,"",-103,2,0,-216,1
1041,"","","",1,"","",93,"",0,1
1042,0.1,"","",1,"",0,3,"",idle_normal,1
1043,"","","",1,"","",93,"",0,0.8
1044,"","","",1,"","",32,"",0,13
