story_id,story_type,title,reward_group_id
4012001,2,"알케스 3분 연금술",110010011
4012002,2,"대규모 거래 GET! 기뻐 죽음♡",110010012
4012003,2,"몸집이 작고 엘프에 초록빛",110010012
4012004,2,"쓰담쓰담해 줄 테니까",110010012
4012005,2,"사랑은 언제나",110010012
4012006,2,"뭐 어때~♪",110010012
4012007,2,"이로하가 체력을 기르는 방법",110010012
4012008,2,"THE 위화감",110010012
4012009,2,"하츠네는 졸린 거 싫어",110010012
4012010,2,"보람을 느끼는 일이에요",110010012
4012011,2,"꿈속에서만 해",110010013
4012012,2,"요염한 여자의 온천 여행 계획",110010013
4012013,2,"으흥, 어른 소노?",110010013
4012015,2,"슬슬 졸업할 수 있으려나?",110010013
4012016,2,"몸이 바뀌면 가능한 일",110010013
4012017,2,"이로하도 할 수 있는데",110010013
4012018,2,"천변만화하는 비약",110010013
4012019,2,"어른이 된 소노 씨",110010013
4012020,2,"어른의 특권",110010013
4012021,2,"재료가 아니야",110010013
4012022,2,"사슴과 용인데요…",110010013
4012023,1,"루이즈마리의 선물①",110010021
4012024,1,"루이즈마리의 선물②",110010021
4012025,1,"루이즈마리의 선물③",110010021
4012026,1,"이로하의 선물①",110010021
4012027,1,"이로하의 선물②",110010021
4012028,1,"이로하의 선물③",110010021
4012029,1,"소노의 선물①",110010021
4012030,1,"소노의 선물②",110010021
4012031,1,"소노의 선물③",110010021
4012032,1,"소노의 선물④",110010021
