rarity,cost_capacity,image_id,hp,name,cost,parts_id,attack,shape,weight,category
1,8,10101,250,"오믈렛",0,1010100,0,1,110,1
1,9,10101,222,"오믈렛",0,1010101,0,1,110,1
1,10,10101,200,"오믈렛",0,1010102,0,1,110,1
2,9,10102,400,"오믈렛",0,1010200,0,1,110,1
2,10,10102,367,"오믈렛",0,1010201,0,1,110,1
2,11,10102,338,"오믈렛",0,1010202,0,1,110,1
3,10,10103,640,"오믈렛",0,1010300,0,1,110,1
3,11,10103,597,"오믈렛",0,1010301,0,1,110,1
3,12,10103,560,"오믈렛",0,1010302,0,1,110,1
1,9,10201,275,"만두",0,1020100,0,2,115,1
1,10,10201,248,"만두",0,1020101,0,2,115,1
1,11,10201,225,"만두",0,1020102,0,2,115,1
2,10,10202,440,"만두",0,1020200,0,2,115,1
2,11,10202,406,"만두",0,1020201,0,2,115,1
2,12,10202,377,"만두",0,1020202,0,2,115,1
3,11,10203,704,"만두",0,1020300,0,2,115,1
3,12,10203,660,"만두",0,1020301,0,2,115,1
3,13,10203,621,"만두",0,1020302,0,2,115,1
1,8,10301,200,"타코야키",0,1030100,0,3,100,1
1,9,10301,175,"타코야키",0,1030101,0,3,100,1
1,10,10301,156,"타코야키",0,1030102,0,3,100,1
2,9,10302,320,"타코야키",0,1030200,0,3,100,1
2,10,10302,291,"타코야키",0,1030201,0,3,100,1
2,11,10302,267,"타코야키",0,1030202,0,3,100,1
3,10,10303,512,"타코야키",0,1030300,0,3,100,1
3,11,10303,475,"타코야키",0,1030301,0,3,100,1
3,12,10303,444,"타코야키",0,1030302,0,3,100,1
1,9,10401,225,"주먹밥",0,1040100,0,4,115,1
1,10,10401,200,"주먹밥",0,1040101,0,4,115,1
1,11,10401,180,"주먹밥",0,1040102,0,4,115,1
2,10,10402,360,"주먹밥",0,1040200,0,4,115,1
2,11,10402,330,"주먹밥",0,1040201,0,4,115,1
2,12,10402,305,"주먹밥",0,1040202,0,4,115,1
3,11,10403,576,"주먹밥",0,1040300,0,4,115,1
3,12,10403,538,"주먹밥",0,1040301,0,4,115,1
3,13,10403,504,"주먹밥",0,1040302,0,4,115,1
1,10,10501,300,"케밥",0,1050100,0,5,150,1
1,11,10501,273,"케밥",0,1050101,0,5,150,1
1,12,10501,250,"케밥",0,1050102,0,5,150,1
2,11,10502,480,"케밥",0,1050200,0,5,150,1
2,12,10502,446,"케밥",0,1050201,0,5,150,1
2,13,10502,416,"케밥",0,1050202,0,5,150,1
3,12,10503,768,"케밥",0,1050300,0,5,150,1
3,13,10503,723,"케밥",0,1050301,0,5,150,1
3,14,10503,683,"케밥",0,1050302,0,5,150,1
1,0,20101,160,"타이어(특대)",0,2010100,0,1,60,2
2,0,20102,256,"타이어(특대)",0,2010200,0,1,60,2
3,0,20103,410,"타이어(특대)",0,2010300,0,1,60,2
1,0,20201,145,"타이어(대)",0,2020100,0,2,45,2
2,0,20202,232,"타이어(대)",0,2020200,0,2,45,2
3,0,20203,371,"타이어(대)",0,2020300,0,2,45,2
1,0,20301,120,"타이어(중)",0,2030100,0,3,30,2
2,0,20302,192,"타이어(중)",0,2030200,0,3,30,2
3,0,20303,307,"타이어(중)",0,2030300,0,3,30,2
1,0,20401,100,"타이어(소)",0,2040100,0,4,15,2
2,0,20402,160,"타이어(소)",0,2040200,0,4,15,2
3,0,20403,256,"타이어(소)",0,2040300,0,4,15,2
1,0,30101,0,"캐논",4,3010100,125,1,1,3
1,0,30101,0,"캐논",5,3010101,195,1,1,3
1,0,30101,0,"캐논",6,3010102,234,1,1,3
2,0,30102,0,"캐논",4,3010200,200,1,1,3
2,0,30102,0,"캐논",5,3010201,313,1,1,3
2,0,30102,0,"캐논",6,3010202,375,1,1,3
3,0,30103,0,"캐논",4,3010300,320,1,1,3
3,0,30103,0,"캐논",5,3010301,500,1,1,3
3,0,30103,0,"캐논",6,3010302,600,1,1,3
1,0,30201,0,"슬라이서",6,3020100,75,2,1,3
1,0,30201,0,"슬라이서",7,3020101,112,2,1,3
1,0,30201,0,"슬라이서",8,3020102,135,2,1,3
2,0,30202,0,"슬라이서",6,3020200,120,2,1,3
2,0,30202,0,"슬라이서",7,3020201,180,2,1,3
2,0,30202,0,"슬라이서",8,3020202,216,2,1,3
3,0,30203,0,"슬라이서",6,3020300,192,2,1,3
3,0,30203,0,"슬라이서",7,3020301,288,2,1,3
3,0,30203,0,"슬라이서",8,3020302,345,2,1,3
1,0,30301,0,"드릴",5,3030100,72,3,1,3
1,0,30301,0,"드릴",6,3030101,108,3,1,3
1,0,30301,0,"드릴",7,3030102,129,3,1,3
2,0,30302,0,"드릴",5,3030200,115,3,1,3
2,0,30302,0,"드릴",6,3030201,172,3,1,3
2,0,30302,0,"드릴",7,3030202,207,3,1,3
3,0,30303,0,"드릴",5,3030300,184,3,1,3
3,0,30303,0,"드릴",6,3030301,276,3,1,3
3,0,30303,0,"드릴",7,3030302,331,3,1,3
1,0,30401,0,"해머",6,3040100,101,4,1,3
1,0,30401,0,"해머",7,3040101,139,4,1,3
1,0,30401,0,"해머",8,3040102,177,4,1,3
2,0,30402,0,"해머",6,3040200,162,4,1,3
2,0,30402,0,"해머",7,3040201,222,4,1,3
2,0,30402,0,"해머",8,3040202,283,4,1,3
3,0,30403,0,"해머",6,3040300,259,4,1,3
3,0,30403,0,"해머",7,3040301,356,4,1,3
3,0,30403,0,"해머",8,3040302,453,4,1,3
1,0,30501,0,"샷건",5,3050100,157,5,1,3
1,0,30501,0,"샷건",6,3050101,216,5,1,3
1,0,30501,0,"샷건",7,3050102,275,5,1,3
2,0,30502,0,"샷건",5,3050200,252,5,1,3
2,0,30502,0,"샷건",6,3050201,346,5,1,3
2,0,30502,0,"샷건",7,3050202,441,5,1,3
3,0,30503,0,"샷건",5,3050300,403,5,1,3
3,0,30503,0,"샷건",6,3050301,554,5,1,3
3,0,30503,0,"샷건",7,3050302,705,5,1,3
1,0,40101,100,"리프트",3,4010100,0,1,1,4
1,0,40101,125,"리프트",4,4010101,0,1,1,4
1,0,40101,150,"리프트",5,4010102,0,1,1,4
2,0,40102,160,"리프트",3,4010200,0,1,1,4
2,0,40102,200,"리프트",4,4010201,0,1,1,4
2,0,40102,240,"리프트",5,4010202,0,1,1,4
3,0,40103,256,"리프트",3,4010300,0,1,1,4
3,0,40103,320,"리프트",4,4010301,0,1,1,4
3,0,40103,384,"리프트",5,4010302,0,1,1,4
1,0,40201,125,"훅",2,4020100,0,2,1,4
1,0,40201,156,"훅",3,4020101,0,2,1,4
1,0,40201,188,"훅",4,4020102,0,2,1,4
2,0,40202,200,"훅",2,4020200,0,2,1,4
2,0,40202,250,"훅",3,4020201,0,2,1,4
2,0,40202,300,"훅",4,4020202,0,2,1,4
3,0,40203,320,"훅",2,4020300,0,2,1,4
3,0,40203,400,"훅",3,4020301,0,2,1,4
3,0,40203,480,"훅",4,4020302,0,2,1,4
1,0,40301,150,"부스터",1,4030100,0,3,1,4
1,0,40301,188,"부스터",2,4030101,0,3,1,4
1,0,40301,225,"부스터",3,4030102,0,3,1,4
2,0,40302,240,"부스터",1,4030200,0,3,1,4
2,0,40302,300,"부스터",2,4030201,0,3,1,4
2,0,40302,360,"부스터",3,4030202,0,3,1,4
3,0,40303,384,"부스터",1,4030300,0,3,1,4
3,0,40303,480,"부스터",2,4030301,0,3,1,4
3,0,40303,576,"부스터",3,4030302,0,3,1,4
