lap_num_to,damage_rank_id_1,damage_rank_id_3,score_coefficient_3,phase,boss_id_1,wave_group_id_3,fix_reward_id_5,score_coefficient_1,boss_id_3,damage_rank_id_5,wave_group_id_2,score_coefficient_2,param_adjust_interval,wave_group_id_5,extra_battle_flag4,difficulty,rsl_unlock_lap,aura_effect,last_attack_reward_id,extra_battle_flag1,reward_gold_coefficient,wave_group_id_1,extra_battle_flag2,damage_rank_id_2,score_coefficient_5,extra_battle_flag5,wave_group_id_4,limited_mana,fix_reward_id_1,param_adjust_id,damage_rank_id_4,map_bg,extra_battle_flag3,lap_num_from,score_coefficient_4,clan_battle_id,fix_reward_id_4,boss_id_4,fix_reward_id_2,id,fix_reward_id_3,boss_id_2,boss_id_5
1,0,0,1.1,1,10010101,401010031,1001105,1.0,10010103,0,401010021,1.0,0,401010051,0,1,1,1,0,0,0.03,401010011,0,0,1.2,0,401010041,100000,1001101,0,0,710011,0,1,1.1,1001,1001104,10010104,1001102,1,1001103,10010102,10010105
-1,0,0,1.5,1,10010101,401010031,1001110,1.2,10010103,0,401010021,1.2,0,401010051,0,1,1,2,0,0,0.06,401010011,0,0,2.0,0,401010041,100000,1001106,0,0,710011,0,2,1.7,1001,1001109,10010104,1001107,2,1001108,10010102,10010105
1,0,0,1.1,1,10020101,401020031,1002105,1.0,10020103,0,401020021,1.0,0,401020051,0,1,1,1,0,0,0.03,401020011,0,0,1.2,0,401020041,100000,1002101,0,0,710021,0,1,1.1,1002,1002104,10020104,1002102,3,1002103,10020102,10020105
-1,0,0,1.5,1,10020101,401020081,1002110,1.2,10020103,0,401020071,1.2,0,401020101,0,1,1,2,0,0,0.06,401020061,0,0,2.0,0,401020091,100000,1002106,0,0,710021,0,2,1.7,1002,1002109,10020104,1002107,4,1002108,10020102,10020105
1,0,0,1.1,1,10030101,401030031,1003105,1.0,10030103,0,401030021,1.0,0,401030051,0,1,1,1,0,0,0.03,401030011,0,0,1.2,0,401030041,100000,1003101,0,0,710031,0,1,1.1,1003,1003104,10030104,1003102,5,1003103,10030102,10030105
-1,0,0,1.5,1,10030101,401030081,1003110,1.2,10030103,0,401030071,1.2,0,401030101,0,1,1,2,0,0,0.06,401030061,0,0,2.0,0,401030091,100000,1003106,0,0,710031,0,2,1.7,1003,1003109,10030104,1003107,6,1003108,10030102,10030105
1,0,0,1.1,1,10040101,401040031,1004105,1.0,10040103,0,401040021,1.0,0,401040051,0,1,1,1,0,0,0.03,401040011,0,0,1.2,0,401040041,100000,1004101,0,0,710041,0,1,1.1,1004,1004104,10040104,1004102,7,1004103,10040102,10040105
-1,0,0,1.5,1,10040101,401040081,1004110,1.2,10040103,0,401040071,1.2,0,401040101,0,1,1,2,0,0,0.06,401040061,0,0,2.0,0,401040091,100000,1004106,0,0,710041,0,2,1.7,1004,1004109,10040104,1004107,8,1004108,10040102,10040105
1,0,0,1.1,1,10050101,401040131,1004105,1.0,10050103,0,401040121,1.0,0,401040151,0,1,1,1,0,0,0.03,401040111,0,0,1.2,0,401040141,100000,1004101,0,0,710051,0,1,1.1,1005,1004104,10050104,1004102,9,1004103,10050102,10050105
-1,0,0,1.5,1,10050101,401040181,1004110,1.2,10050103,0,401040171,1.2,0,401040201,0,1,1,2,0,0,0.06,401040161,0,0,2.0,0,401040191,100000,1004106,0,0,710051,0,2,1.7,1005,1004109,10050104,1004107,10,1004108,10050102,10050105
1,0,0,1.3,1,10060101,401040231,1004105,1.0,10060103,0,401040221,1.0,0,401040251,0,1,1,1,0,0,0.03,401040211,0,0,1.5,0,401040241,100000,1004101,0,0,710061,0,1,1.3,1006,1004104,10060104,1004102,11,1004103,10060102,10060105
-1,0,0,1.8,1,10060101,401040281,1004110,1.3,10060103,0,401040271,1.3,0,401040301,0,1,1,2,0,0,0.06,401040261,0,0,2.0,0,401040291,100000,1004106,0,0,710061,0,2,1.8,1006,1004109,10060104,1004107,12,1004108,10060102,10060105
1,0,0,1.3,1,10070101,401040331,1004105,1.0,10070103,0,401040321,1.0,0,401040351,0,1,1,1,0,0,0.03,401040311,0,0,1.5,0,401040341,100000,1004101,0,0,710071,0,1,1.3,1007,1004104,10070104,1004102,13,1004103,10070102,10070105
-1,0,0,1.8,1,10070101,401040381,1004110,1.3,10070103,0,401040371,1.3,0,401040401,0,1,1,2,0,0,0.06,401040361,0,0,2.0,0,401040391,100000,1004106,0,0,710071,0,2,1.8,1007,1004109,10070104,1004107,14,1004108,10070102,10070105
1,0,0,1.3,1,10080101,401040431,1004105,1.0,10080103,0,401040421,1.0,0,401040451,0,1,1,1,0,0,0.03,401040411,0,0,1.5,0,401040441,100000,1004101,0,0,710081,0,1,1.3,1008,1004104,10080104,1004102,15,1004103,10080102,10080105
-1,0,0,1.8,1,10080101,401040481,1004110,1.3,10080103,0,401040471,1.3,0,401040501,0,1,1,2,0,0,0.06,401040461,0,0,2.0,0,401040491,100000,1004106,0,0,710081,0,2,1.8,1008,1004109,10080104,1004107,16,1004108,10080102,10080105
1,0,0,1.3,1,10090101,401040531,1004105,1.0,10090103,0,401040521,1.0,0,401040551,0,1,1,1,0,0,0.03,401040511,0,0,1.5,0,401040541,100000,1004101,0,0,710091,0,1,1.3,1009,1004104,10090104,1004102,17,1004103,10090102,10090105
5,0,0,1.8,1,10090101,401040581,1004110,1.4,10090103,0,401040571,1.4,0,401040601,0,1,1,2,0,0,0.06,401040561,0,0,2.0,0,401040591,100000,1004106,0,0,710091,0,2,1.8,1009,1004109,10090104,1004107,18,1004108,10090102,10090105
-1,0,0,2.5,1,10090101,401040631,1004105,2.0,10090103,0,401040621,2.0,0,401040651,0,1,1,2,0,0,0.06,401040611,0,0,3.0,0,401040641,100000,1004101,0,0,710091,0,6,2.5,1009,1004104,10090104,1004102,19,1004103,10090102,10090105
3,0,0,1.3,1,10100101,401011003,1004110,1.0,10100103,0,401011002,1.0,0,401011005,0,1,1,1,0,0,0.03,401011001,0,0,1.5,0,401011004,100000,1004106,0,0,710101,0,1,1.3,1010,1004109,10100104,1004107,20,1004108,10100102,10100105
10,0,0,1.8,1,10100101,401021003,1004105,1.4,10100103,0,401021002,1.4,0,401021005,0,1,1,2,0,0,0.06,401021001,0,0,2.0,0,401021004,100000,1004101,0,0,710101,0,4,1.8,1010,1004104,10100104,1004102,21,1004103,10100102,10100105
-1,0,0,2.5,1,10100101,401031003,1004110,2.0,10100103,0,401031002,2.0,0,401031005,0,1,1,2,0,0,0.06,401031001,0,0,3.0,0,401031004,100000,1004106,0,0,710101,0,11,2.5,1010,1004109,10100104,1004107,22,1004108,10100102,10100105
1,0,0,1.3,1,10110101,401040681,1004105,1.0,10110103,0,401040671,1.0,0,401040701,0,1,2,1,0,0,0.03,401040661,0,0,1.5,0,401040691,100000,1004101,0,0,710111,0,1,1.3,1011,1004104,10110104,1004102,23,1004103,10110102,10110105
3,0,0,1.3,1,10110101,401040681,1004110,1.0,10110103,0,401040671,1.0,0,401040701,0,1,2,1,0,0,0.03,401040661,0,0,1.5,0,401040691,100000,1004106,0,0,710111,0,2,1.3,1011,1004109,10110104,1004107,24,1004108,10110102,10110105
10,0,0,1.8,2,10110101,401040731,1004105,1.4,10110103,0,401040721,1.4,0,401040751,0,1,5,2,0,0,0.06,401040711,0,0,2.0,0,401040741,100000,1004101,0,0,710111,0,4,1.8,1011,1004104,10110104,1004102,25,1004103,10110102,10110105
-1,0,0,2.5,3,10110101,401040781,1004110,2.0,10110103,0,401040771,2.0,0,401040801,0,1,12,2,0,0,0.06,401040761,0,0,3.0,0,401040791,100000,1004106,0,0,710111,0,11,2.5,1011,1004109,10110104,1004107,26,1004108,10110102,10110105
1,0,0,1.3,1,10120101,401040831,1004105,1.0,10120103,0,401040821,1.0,0,401040851,0,1,2,1,0,0,0.03,401040811,0,0,1.5,0,401040841,100000,1004101,0,0,710121,0,1,1.3,1012,1004104,10120104,1004102,27,1004103,10120102,10120105
3,0,0,1.3,1,10120101,401040831,1004110,1.0,10120103,0,401040821,1.0,0,401040851,0,1,2,1,0,0,0.03,401040811,0,0,1.5,0,401040841,100000,1004106,0,0,710121,0,2,1.3,1012,1004109,10120104,1004107,28,1004108,10120102,10120105
10,0,0,1.8,2,10120101,401040881,1004105,1.4,10120103,0,401040871,1.4,0,401040901,0,1,5,2,0,0,0.06,401040861,0,0,2.0,0,401040891,100000,1004101,0,0,710121,0,4,1.8,1012,1004104,10120104,1004102,29,1004103,10120102,10120105
-1,0,0,2.5,3,10120101,401040931,1004110,2.0,10120103,0,401040921,2.0,0,401040951,0,1,12,2,0,0,0.06,401040911,0,0,3.0,0,401040941,100000,1004106,0,0,710121,0,11,2.5,1012,1004109,10120104,1004107,30,1004108,10120102,10120105
1,0,0,1.3,1,10130101,401040981,1004105,1.0,10130103,0,401040971,1.0,0,401041001,0,1,2,1,0,0,0.03,401040961,0,0,1.5,0,401040991,100000,1004101,0,0,710011,0,1,1.3,1013,1004104,10130104,1004102,31,1004103,10130102,10130105
3,0,0,1.3,1,10130101,401040981,1004110,1.0,10130103,0,401040971,1.0,0,401041001,0,1,2,1,0,0,0.03,401040961,0,0,1.5,0,401040991,100000,1004106,0,0,710011,0,2,1.3,1013,1004109,10130104,1004107,32,1004108,10130102,10130105
10,0,0,1.8,2,10130101,401041031,1004105,1.4,10130103,0,401041021,1.4,0,401041051,0,1,5,2,0,0,0.06,401041011,0,0,2.0,0,401041041,100000,1004101,0,0,710011,0,4,1.8,1013,1004104,10130104,1004102,33,1004103,10130102,10130105
-1,0,0,2.5,3,10130101,401041081,1004110,2.0,10130103,0,401041071,2.0,0,401041101,0,1,12,2,0,0,0.06,401041061,0,0,3.0,0,401041091,100000,1004106,0,0,710011,0,11,2.5,1013,1004109,10130104,1004107,34,1004108,10130102,10130105
1,0,0,1.3,1,10140101,401041081,1004105,1.0,10140103,0,401041071,1.0,0,401041101,0,1,2,1,0,0,0.03,401041061,0,0,1.5,0,401041091,100000,1004101,0,0,710021,0,1,1.3,1014,1004104,10140104,1004102,35,1004103,10140102,10140105
3,0,0,1.3,1,10140101,401041131,1004110,1.0,10140103,0,401041121,1.0,0,401041151,0,1,2,1,0,0,0.03,401041111,0,0,1.5,0,401041141,100000,1004106,0,0,710021,0,2,1.3,1014,1004109,10140104,1004107,36,1004108,10140102,10140105
10,0,0,1.8,2,10140101,401041181,1004105,1.4,10140103,0,401041171,1.4,0,401041201,0,1,5,2,0,0,0.06,401041161,0,0,2.0,0,401041191,100000,1004101,0,0,710021,0,4,1.8,1014,1004104,10140104,1004102,37,1004103,10140102,10140105
-1,0,0,2.5,3,10140101,401041231,1004110,2.0,10140103,0,401041221,2.0,0,401041251,0,1,12,2,0,0,0.06,401041211,0,0,3.0,0,401041241,100000,1004106,0,0,710021,0,11,2.5,1014,1004109,10140104,1004107,38,1004108,10140102,10140105
1,0,0,1.3,1,10150101,401041281,1004105,1.0,10150103,0,401041271,1.0,0,401041301,0,1,2,1,0,0,0.03,401041261,0,0,1.5,0,401041291,100000,1004101,0,0,710031,0,1,1.3,1015,1004104,10150104,1004102,39,1004103,10150102,10150105
3,0,0,1.3,1,10150101,401041281,1004110,1.0,10150103,0,401041271,1.0,0,401041301,0,1,2,1,0,0,0.03,401041261,0,0,1.5,0,401041291,100000,1004106,0,0,710031,0,2,1.3,1015,1004109,10150104,1004107,40,1004108,10150102,10150105
10,0,0,1.8,2,10150101,401041331,1004105,1.4,10150103,0,401041321,1.4,0,401041351,0,1,5,2,0,0,0.06,401041311,0,0,2.0,0,401041341,100000,1004101,0,0,710031,0,4,1.8,1015,1004104,10150104,1004102,41,1004103,10150102,10150105
-1,0,0,2.5,3,10150101,401041381,1004110,2.0,10150103,0,401041371,2.0,0,401041401,0,1,12,2,0,0,0.06,401041361,0,0,3.0,0,401041391,100000,1004106,0,0,710031,0,11,2.5,1015,1004109,10150104,1004107,42,1004108,10150102,10150105
1,0,0,1.3,1,10160101,401041581,1004105,1.0,10160103,0,401041571,1.0,0,401041601,0,1,2,1,0,0,0.03,401041561,0,0,1.5,0,401041591,100000,1004101,0,0,710041,0,1,1.3,1016,1004104,10160104,1004102,43,1004103,10160102,10160105
3,0,0,1.3,2,10160101,401041631,1004110,1.0,10160103,0,401041621,1.0,0,401041651,0,1,3,1,0,0,0.03,401041611,0,0,1.5,0,401041641,100000,1004106,0,0,710041,0,2,1.3,1016,1004109,10160104,1004107,44,1004108,10160102,10160105
10,0,0,1.8,3,10160101,401041681,1004110,1.4,10160103,0,401041671,1.4,0,401041701,0,1,6,2,0,0,0.06,401041661,0,0,2.0,0,401041691,100000,1004106,0,0,710041,0,4,1.8,1016,1004109,10160104,1004107,45,1004108,10160102,10160105
-1,0,0,2.5,4,10160101,401041681,1004110,2.0,10160103,0,401041671,2.0,0,401041701,0,1,9,2,0,0,0.06,401041661,0,0,3.0,0,401041691,100000,1004106,0,0,710041,0,11,2.5,1016,1004109,10160104,1004107,46,1004108,10160102,10160105
1,0,0,1.3,1,10170101,401041731,1004105,1.0,10170103,0,401041721,1.0,0,401041751,0,1,2,1,0,0,0.03,401041711,0,0,1.5,0,401041741,100000,1004101,0,0,710051,0,1,1.3,1017,1004104,10170104,1004102,47,1004103,10170102,10170105
3,0,0,1.3,2,10170101,401041731,1004110,1.0,10170103,0,401041721,1.0,0,401041751,0,1,3,1,0,0,0.03,401041711,0,0,1.5,0,401041741,100000,1004106,0,0,710051,0,2,1.3,1017,1004109,10170104,1004107,48,1004108,10170102,10170105
10,0,0,1.8,3,10170101,401041781,1004110,1.4,10170103,0,401041771,1.4,0,401041801,0,1,6,2,0,0,0.06,401041761,0,0,2.0,0,401041791,100000,1004106,0,0,710051,0,4,1.8,1017,1004109,10170104,1004107,49,1004108,10170102,10170105
