goldset_odds_2,goldset_odds_1,use_jewel_count,id,get_gold_count,buy_count,additional_gold_min_rate,goldset_odds_3,training_quest_count,additional_gold_max_rate
0,90001,10,1,12000,1,10000,90043,0,30000
0,90002,20,2,24000,2,10000,90047,0,30000
0,90002,20,3,24000,3,10000,90047,0,30000
0,90002,20,4,24000,4,10000,90047,0,30000
0,90002,20,5,24000,5,10000,90047,0,30000
0,90002,20,6,24000,6,10000,90047,0,30000
0,90002,20,7,24000,7,10000,90047,0,30000
0,90002,20,8,24000,8,10000,90047,0,30000
0,90002,20,9,24000,9,10000,90047,0,30000
0,90002,20,10,24000,10,10000,90047,1,30000
90011,90003,40,11,48000,11,10000,90051,2,30000
90011,90003,40,12,48000,12,10000,90051,3,30000
90011,90003,40,13,48000,13,10000,90051,4,30000
90011,90003,40,14,48000,14,10000,90051,5,30000
90011,90003,40,15,48000,15,10000,90051,6,30000
90011,90003,40,16,48000,16,10000,90051,7,30000
90011,90003,40,17,48000,17,10000,90051,8,30000
90011,90003,40,18,48000,18,10000,90051,9,30000
90011,90003,40,19,48000,19,10000,90051,10,30000
90011,90003,40,20,48000,20,10000,90051,11,30000
90015,90004,60,21,72000,21,10000,90055,12,30000
90015,90004,60,22,72000,22,10000,90055,13,30000
90015,90004,60,23,72000,23,10000,90055,14,30000
90015,90004,60,24,72000,24,10000,90055,15,30000
90015,90004,60,25,72000,25,10000,90055,16,30000
90015,90004,60,26,72000,26,10000,90055,17,30000
90015,90004,60,27,72000,27,10000,90055,18,30000
90015,90004,60,28,72000,28,10000,90055,19,30000
90015,90004,60,29,72000,29,10000,90055,20,30000
90015,90004,60,30,72000,30,10000,90055,21,30000
90015,90005,80,31,96000,31,10000,90059,22,30000
90015,90005,80,32,96000,32,10000,90059,23,30000
90015,90005,80,33,96000,33,10000,90059,24,30000
90015,90005,80,34,96000,34,10000,90059,25,30000
90015,90005,80,35,96000,35,10000,90059,26,30000
90015,90005,80,36,96000,36,10000,90059,27,30000
90015,90005,80,37,96000,37,10000,90059,28,30000
90015,90005,80,38,96000,38,10000,90059,29,30000
90015,90005,80,39,96000,39,10000,90059,30,30000
90015,90005,80,40,96000,40,10000,90059,31,30000
90017,90005,120,41,144000,41,10000,90063,33,30000
90017,90005,120,42,144000,42,10000,90063,35,30000
90017,90005,120,43,144000,43,10000,90063,37,30000
90017,90005,120,44,144000,44,10000,90063,39,30000
90017,90005,120,45,144000,45,10000,90063,41,30000
90017,90005,120,46,144000,46,10000,90063,43,30000
90017,90005,120,47,144000,47,10000,90063,45,30000
90017,90005,120,48,144000,48,10000,90063,47,30000
90017,90005,120,49,144000,49,10000,90063,49,30000
90017,90005,120,50,144000,50,10000,90063,51,30000
90019,90006,150,51,180000,51,10000,90067,53,30000
90019,90006,150,52,180000,52,10000,90067,55,30000
90019,90006,150,53,180000,53,10000,90067,57,30000
90019,90006,150,54,180000,54,10000,90067,59,30000
90019,90006,150,55,180000,55,10000,90067,61,30000
90019,90006,150,56,180000,56,10000,90067,63,30000
90019,90006,150,57,180000,57,10000,90067,65,30000
90019,90006,150,58,180000,58,10000,90067,67,30000
90019,90006,150,59,180000,59,10000,90067,69,30000
90019,90006,150,60,180000,60,10000,90067,71,30000
90021,90007,180,61,216000,61,10000,90071,74,30000
90021,90007,180,62,216000,62,10000,90071,77,30000
90021,90007,180,63,216000,63,10000,90071,80,30000
90021,90007,180,64,216000,64,10000,90071,83,30000
90021,90007,180,65,216000,65,10000,90071,86,30000
90021,90007,180,66,216000,66,10000,90071,89,30000
90021,90007,180,67,216000,67,10000,90071,92,30000
90021,90007,180,68,216000,68,10000,90071,95,30000
90021,90007,180,69,216000,69,10000,90071,98,30000
90021,90007,180,70,216000,70,10000,90071,101,30000
