param_05,param_02,param_01,command_id,param_04,param_07,command_type,param_06,drama_id,param_03,param_08
0,100211,1,1002011001,0,0,1,1.7,1002011,100,mhp_sit_idle
"",mhp_sit_talk_memory,100211,1002011002,"","",3,0.2,1002011,1,""
"",vo_mhp_0401,vo_mhp,1002011003,0,"",21,"",1002011,0,""
0,"미츠키 씨랑 만나는 거\n오랜만이네\n좀 기대돼♪",100211,1002011004,0,0,11,0,1002011,6,0
"","",0,1002011005,"","",91,"",1002011,"",""
"",mhp_sit_idle_memory,100211,1002011006,"","",3,0.2,1002011,1,""
0,100211,1,1002012001,0,0,1,1.7,1002012,100,mhp_sit_idle
"",mhp_sit_talk_sad,100211,1002012002,"","",3,0.2,1002012,1,""
"",vo_mhp_0402,vo_mhp,1002012003,0,"",21,"",1002012,0,""
0,"하아… 뭔가 안\n좋은 병이면\n어떡하지…",100211,1002012004,0,0,11,0,1002012,5,0
"","",0,1002012005,"","",91,"",1002012,"",""
"",mhp_sit_idle_sad,100211,1002012006,"","",3,0.2,1002012,1,""
0,100211,1,1002013001,0,0,1,1.7,1002013,100,mhp_sit_idle
"",mhp_yui_sit_talk_wish,100211,1002013002,"","",3,0.2,1002013,1,""
"",vo_mhp_0403,vo_mhp,1002013003,0,"",21,"",1002013,0,""
0,"마침내 진찰 결과가…\n가, 가슴이 뛰기\n시작했어…!",100211,1002013004,0,0,11,0,1002013,4,0
"","",0,1002013005,"","",91,"",1002013,"",""
"",mhp_sit_idle_sad,100211,1002013006,"","",3,0.2,1002013,1,""
-240,100211,1,1007401001,-1000,0,1,1.7,1007401,100,mhp_idle_normal
-220,117531,1,1007401002,185,1,1,1.7,1007401,100,mhp_sit_idle
-200,117631,1,1007401003,365,1,1,1.7,1007401,100,mhp_sit_idle
0.85,1,1,1007401004,-154,"",31,1,1007401,-240,""
0.85,123,23,1007401005,-18,"",31,0,1007401,-230,""
-220,11,1,1007401006,-200,0,5,1.7,1007401,110,NoItem
-220,12,1,1007401007,-200,0,5,1.7,1007401,105,NoItem
-220,21,1,1007401008,185,1,5,1.7,1007401,110,NoItem
-220,22,1,1007401009,185,1,5,1.7,1007401,105,NoItem
0,1,11,1007401010,1,0,6,0,1007401,1,""
0,1,12,1007401011,1,0,6,0,1007401,1,""
0,1,21,1007401012,1,0,6,0,1007401,1,""
0,1,22,1007401013,1,0,6,0,1007401,1,""
-220,31,1,1007401014,-1000,0,5,1.7,1007401,110,NoItem
"","",0,1007401015,"","",91,"",1007401,"",""
"",mhp_sit_talk_normal,117531,1007401016,"","",3,0.2,1007401,1,""
"",vo_mhp_4001,vo_mhp_1007401,1007401017,0,"",21,"",1007401,0,""
0,"다음 분 들어오세요~",117531,1007401018,0,0,11,0,1007401,8,0.5
"","",0,1007401019,"","",91,"",1007401,"",""
"",mhp_sit_idle,117531,1007401020,"","",3,0.2,1007401,1,""
