effect_name,icon_name,id,quest_id,description
"데미지 감쇠",18,500000101,75000001,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000102,75000001,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000103,75000001,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000104,75000001,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000105,75000001,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000106,75000001,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000201,75000002,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000202,75000002,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000203,75000002,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000204,75000002,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000205,75000002,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000206,75000002,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000301,75000003,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000302,75000003,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000303,75000003,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000304,75000003,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000305,75000003,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000306,75000003,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000401,75000004,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000402,75000004,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000403,75000004,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000404,75000004,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000405,75000004,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000406,75000004,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000501,75000005,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000502,75000005,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000503,75000005,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000504,75000005,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000505,75000005,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000506,75000005,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000601,75000006,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000602,75000006,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000603,75000006,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000604,75000006,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000605,75000006,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000606,75000006,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000701,75000007,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000702,75000007,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000703,75000007,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000704,75000007,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000705,75000007,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000706,75000007,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000801,75000008,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000802,75000008,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000803,75000008,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000804,75000008,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000805,75000008,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000806,75000008,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500000901,75000009,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500000902,75000009,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500000903,75000009,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500000904,75000009,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500000905,75000009,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500000906,75000009,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500001001,75000010,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500001002,75000010,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
