equip_slot_5,equip_slot_6,unit_id,equip_slot_3,equip_slot_2,equip_slot_1,equip_slot_4,promotion_level
101071,101581,100101,101281,101101,101101,101431,1
101101,101581,100101,102341,102071,102101,102431,2
102071,102581,100101,102342,102101,103071,102432,3
102101,102582,100101,103341,103071,103101,103431,4
103071,103581,100101,103342,103101,103072,103432,5
103552,103582,100101,103343,103072,104101,103432,6
103072,103552,100101,104341,104101,104102,103583,7
104551,103553,100101,104342,104102,104103,104101,8
104552,104551,100101,104343,104103,104104,104102,9
104553,104552,100101,104284,104104,105101,104103,10
105551,104554,100101,105341,105101,105102,104344,11
105552,105551,100101,105282,105102,105103,105341,12
105553,105552,100101,105343,105103,105104,105342,13
105554,105553,100101,105344,105104,105105,105343,14
105555,105554,100101,105285,105105,105106,105344,15
105556,105555,100101,105286,105106,105107,105285,16
105557,105556,100101,105287,105107,106101,105286,17
106551,105557,100101,106281,106101,106102,105287,18
106552,106551,100101,106282,106102,106103,106281,19
106553,106552,100101,106283,106103,107101,106282,20
107551,106553,100101,107281,107101,107102,106283,21
107552,107551,100101,107282,107102,107103,107281,22
107553,107552,100101,107283,107103,108101,107282,23
108551,107553,100101,108401,108101,108102,107283,24
108552,108551,100101,108312,108102,108103,108401,25
108553,108552,100101,108403,108103,108104,108312,26
108554,108553,100101,108494,108104,109101,108403,27
109551,108554,100101,109401,109101,109102,108494,28
109552,109551,100101,109282,109102,109103,109401,29
109553,109552,100101,109493,109103,109104,109282,30
109554,109553,100101,109494,109104,10010032,109493,31
10055032,109554,100101,10028032,10010032,10010033,109494,32
10055033,10055032,100101,10028033,10010033,10010034,10028032,33
10055034,10055033,100101,10028034,10010034,10010035,10028033,34
999999,10055034,100101,999999,10010035,999999,10028034,35
101611,101581,100201,101371,101251,101251,101521,1
101611,101611,100201,102371,102251,102252,102461,2
102612,102581,100201,102372,102252,103251,102521,3
102613,102614,100201,103521,103251,103252,103521,4
103612,103581,100201,103371,103252,103222,103461,5
103613,103613,100201,103372,103222,104251,103522,6
103614,103461,100201,104371,104251,104252,103614,7
104611,103614,100201,104372,104252,104253,104461,8
104612,104611,100201,104523,104253,104254,104522,9
104613,104612,100201,104373,104254,105251,104523,10
105581,104613,100201,105371,105251,105252,104373,11
105582,105581,100201,105522,105252,105253,105371,12
105583,105582,100201,105462,105253,105254,105372,13
105584,105583,100201,105374,105254,105255,105373,14
105585,105584,100201,105463,105255,105256,105374,15
105586,105585,100201,105524,105256,105257,105463,16
105587,105586,100201,105464,105257,106251,105524,17
106581,105587,100201,106461,106251,106252,105464,18
106582,106581,100201,106521,106252,106253,106461,19
106583,106582,100201,106462,106253,107251,106372,20
107581,106583,100201,107461,107251,107252,106462,21
107582,107581,100201,107462,107252,107253,107461,22
107583,107582,100201,107463,107253,108251,107462,23
108581,107583,100201,108371,108251,108252,107463,24
108582,108581,100201,108372,108252,108253,108371,25
108583,108582,100201,108373,108253,108254,108372,26
108584,108583,100201,108374,108254,109251,108373,27
109581,108584,100201,109371,109251,109252,108374,28
109582,109581,100201,109372,109252,109253,109371,29
109583,109582,100201,109373,109253,109254,109372,30
109584,109583,100201,109374,109254,10025032,109373,31
10058032,109584,100201,10037032,10025032,10025033,109374,32
10058033,10058032,100201,10037033,10025033,10025034,10037032,33
10058034,10058033,100201,10037034,10025034,10025035,10037033,34
999999,10058034,100201,999999,10025035,999999,10037034,35
101071,101581,100301,101281,101011,101011,101401,1
101071,101551,100301,102311,102011,102014,102493,2
102071,102551,100301,102282,102014,103011,102401,3
102582,102552,100301,103311,103011,103012,103581,4
103071,103551,100301,103282,103012,103013,103401,5
103552,103552,100301,103283,103013,104011,103401,6
103072,103582,100301,104311,104011,104012,103553,7
104551,103553,100301,104312,104012,104013,104401,8
104552,104551,100301,104402,104013,104014,104432,9
104554,104552,100301,104284,104014,105011,104402,10
105551,104553,100301,105281,105011,105012,104284,11
105552,105551,100301,105431,105012,105013,105281,12
105553,105552,100301,105343,105013,105014,105282,13
105554,105553,100301,105314,105014,105015,105283,14
105555,105554,100301,105285,105015,105016,105284,15
105556,105555,100301,105286,105016,105017,105285,16
105557,105556,100301,105287,105017,106011,105286,17
106551,105557,100301,106281,106011,106012,105287,18
106552,106551,100301,106282,106012,106013,106281,19
106553,106552,100301,106343,106013,107011,106282,20
107551,106553,100301,107341,107011,107012,106343,21
107552,107551,100301,107342,107012,107013,107341,22
107553,107552,100301,107343,107013,108011,107342,23
108551,107553,100301,108431,108011,108012,107343,24
108552,108551,100301,108492,108012,108013,108431,25
108553,108552,100301,108343,108013,108014,108492,26
108554,108553,100301,108494,108014,109011,108343,27
109551,108554,100301,109401,109011,109012,108494,28
109552,109551,100301,109402,109012,109013,109401,29
109553,109552,100301,109493,109013,109014,109402,30
109554,109553,100301,109494,109014,10001032,109493,31
10055032,109554,100301,10040032,10001032,10001033,109494,32
10055033,10055032,100301,10040033,10001033,10001034,10040032,33
10055034,10055033,100301,10049034,10001034,10001035,10040033,34
999999,10055034,100301,999999,10001035,999999,10049034,35
101581,101581,100401,101281,101101,101101,101431,1
101581,101581,100401,102341,102071,102101,102431,2
102581,102581,100401,102342,102101,103071,102432,3
102582,102582,100401,103341,103071,103101,103431,4
103551,103581,100401,103342,103101,103072,103432,5
103552,103582,100401,103343,103072,104101,103432,6
103583,103552,100401,104341,104101,104102,103583,7
104581,103583,100401,104342,104102,104103,104431,8
104582,104581,100401,104343,104103,104104,104432,9
104583,104582,100401,104433,104104,105101,104343,10
105581,104583,100401,105401,105101,105102,104433,11
105552,105581,100401,105312,105102,105103,105401,12
