pos_x,pos_y,depth,parts_id,mural_group_id,height,width,date_id
-401,-90,1,1,1,182,170,71
-401,-90,2,2,1,182,170,81
-255,90,3,3,1,182,255,121
-255,90,4,4,1,182,255,131
-255,90,5,5,1,182,255,141
-107,-80,6,6,1,176,229,191
-107,-80,7,7,1,176,229,201
136,-85,8,8,1,151,218,271
136,-85,9,9,1,151,218,281
136,-85,10,10,1,151,218,291
280,80,11,11,1,219,156,331
280,80,12,12,1,219,156,341
280,80,13,13,1,219,156,351
417,-97,14,14,1,183,213,401
417,-97,15,15,1,183,213,411
-259,-73,2,1,2,229,242,451
-222,124,4,2,2,179,226,481
-101,-67,6,3,2,192,219,501
-26,-27,8,4,2,190,168,521
117,-50,11,5,2,260,192,551
241,120,14,6,2,138,159,601
241,120,14,7,2,138,159,611
243,-71,14,8,2,229,224,621
-353,32,1,1,3,43,71,781
-228,-30,2,2,3,268,235,801
-243,144,3,3,3,45,80,831
20,-76,4,4,3,225,221,851
230,-74,5,5,3,222,211,861
-100,44,6,6,3,136,115,891
-100,44,7,7,3,136,115,901
116,76,8,8,3,250,306,991
116,76,9,9,3,250,306,1001
116,76,10,10,3,250,306,1011
322,40,11,11,3,188,96,1041
322,40,12,12,3,188,96,1051
-211,-6,1,1,4,272,294,1091
-288,129,2,2,4,115,92,1101
-288,129,3,3,4,115,92,1111
-58,128,4,4,4,174,135,1121
143,133,5,5,4,184,222,1151
-277,-129,6,6,4,98,134,1161
-277,-129,7,7,4,98,134,1171
-60,-12,8,8,4,70,67,1211
-60,-12,9,9,4,70,67,1221
116,-55,10,10,4,185,132,1231
-17,-103,11,11,4,89,93,1261
-17,-103,12,12,4,89,93,1271
232,23,13,13,4,239,150,1311
-289,-161,1,1,5,72,114,1391
-289,-161,2,2,5,72,114,1401
-261,80,3,3,5,248,228,1411
-103,-91,4,4,5,211,223,1431
-87,95,5,5,5,181,186,1471
69,-122,6,6,5,176,132,1551
69,-122,7,7,5,176,132,1561
54,91,8,8,5,184,143,1611
204,45,9,9,5,247,211,1641
308,141,10,10,5,167,137,1651
282,-46,11,11,5,174,175,1661
-252,-11,1,1,6,240,222,1741
-19,-96,2,2,6,245,311,1761
-46,95,3,3,6,221,261,1771
152,83,4,4,6,237,166,1781
227,-100,5,5,6,229,183,1782
-249,-46,1,1,7,183,223,1811
-159,54,2,2,7,247,337,1881
30,-70,3,3,7,191,202,1921
173,0,4,4,7,215,176,1941
292,77,5,5,7,236,204,1981
-472,89,1,1,8,254,209,2001
-375,-77,2,2,8,282,250,2031
-280,110,3,3,8,223,241,2051
-148,-85,4,4,8,270,243,2101
3,74,5,5,8,264,274,2131
155,-36,6,6,8,302,321,2171
283,82,7,7,8,277,199,2201
374,0,8,8,8,344,349,2271
-275,-30,1,1,9,301,240,2321
-132,-115,2,2,9,108,106,2361
-132,-115,3,3,9,108,106,2371
-73,32,4,4,9,246,202,2381
-43,-140,5,5,9,84,114,2411
-43,-140,6,6,9,84,114,2421
50,65,8,7,9,84,86,2461
50,65,9,8,9,84,86,2471
80,-110,10,9,9,137,185,2481
80,-110,11,10,9,137,185,2491
131,24,7,11,9,377,301,2521
280,-50,12,12,9,305,190,2531
-527,-137,3,1,10,145,123,2601
-527,-137,4,2,10,145,123,2611
-379,35,1,3,10,295,408,2621
-299,103,2,4,10,192,171,2622
-138,-64,6,5,10,244,342,2623
-47,9,5,6,10,254,224,2701
131,-88,8,7,10,204,253,2781
89,23,9,8,10,139,110,2791
89,23,10,9,10,139,110,2801
275,42,7,10,10,249,292,2811
274,-120,11,11,10,151,126,2821
274,-120,12,12,10,151,126,2831
448,-17,13,13,10,316,276,2841
-292,-87,1,1,11,203,158,2901
-224,123,2,2,11,187,256,3011
-65,-80,3,3,11,225,144,3031
80,-84,4,4,11,214,149,3111
227,112,5,5,11,194,201,3131
159,-111,6,6,11,111,161,3141
159,-111,7,7,11,111,161,3151
307,-80,8,8,11,209,166,3171
-185,-106,3,1,12,206,364,3211
-304,34,1,2,12,277,160,3221
-107,45,2,3,12,275,249,3231
31,-46,5,4,12,233,167,3321
135,-122,7,5,12,130,174,3381
135,-122,8,6,12,130,174,3391
127,101,4,7,12,223,244,3431
254,-24,6,8,12,246,235,3441
303,-114,9,9,12,156,167,3461
303,-114,10,10,12,156,167,3471
338,152,11,11,12,94,108,3491
338,152,12,12,12,94,108,3501
-286,-48,3,1,13,270,210,3531
-310,144,2,2,13,103,92,3541
-152,-90,3,3,13,219,228,3551
-148,99,4,4,13,103,94,3561
-12,-157,5,5,13,71,110,3571
-5,-2,1,6,13,274,209,3581
141,-72,6,7,13,292,219,3691
146,143,7,8,13,104,88,3701
299,131,8,9,13,135,160,3741
299,131,9,10,13,135,160,3751
301,-82,10,11,13,268,179,3791
-470,6,2,1,14,286,197,3811
-520,-123,3,2,14,89,134,3821
-369,103,1,3,14,236,204,3831
-283,-74,5,4,14,241,176,3871
-151,-83,6,5,14,236,156,3901
-174,108,4,6,14,226,219,3921
-51,-130,10,7,14,96,107,3931
-5,50,9,8,14,251,179,3941
100,-106,11,9,14,102,113,3951
268,-41,12,10,14,317,242,3961
138,79,7,11,14,240,209,3971
138,79,8,12,14,240,209,3981
441,-125,14,13,14,93,125,4031
485,22,13,14,14,279,219,4041
